ROWNUM,object_id,+PRIVILEGES,project_id,Data.AxisNumber,Data.CompressionAlgorithm,Data.DataLength,Data.DataSize,Data.ImgNumber,Data.InstrumentMode,Data.ObservationMode,Data.OnBoardSoftwareVersion,Data.PlanningId,Data.SimInputConfId,Data.VisNominalChain,Data.VisSequence,Data.VisSequenceEndTime,Data.ObservationDateTime.MJD,Data.ObservationDateTime.OBT,Data.ObservationDateTime.UTC,Data.FrameFitsFile.Format,Data.FrameFitsFile.Version,Data.ExposureTime.Unit,Data.ExposureTime.Value,Data.FrameFitsFile.DataContainer.ChecksumMethod,Data.FrameFitsFile.DataContainer.ChecksumValue,Data.FrameFitsFile.DataContainer.FileName,Data.FrameFitsFile.DataContainer.Filestatus,OBJECT_ID$
430,021DE41010B36E63E0632F061AAC556C,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147511552,,"false","Nominal/Short",1970-02-03 06:06:14.724000,60159.585139990035,1970-02-03 05:55:30.083000,2023-08-03 14:02:36.095139,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T140236.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
431,021DEE61E3B07C51E0632F061AAC56AD,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147515392,,"false","Nominal/Short",1970-02-03 15:13:06.815000,60159.964909168084,1970-02-03 15:02:22.084000,2023-08-03 23:09:28.152122,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T230928.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
432,020616B10BF1B633E0632F061AACB233,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","CALIBRATION","3.1.2",2147507968,,"false","Bias",1970-02-02 21:41:02.708000,60159.24088013292,1970-02-02 21:39:46.083000,2023-08-03 05:46:52.043485,"le1.visRawImage","0.2","s",0.0,,,"EUC_LE1_VIS-65536-1-C_20230803T053108.000000Z_02_01_01.00.fits.gz","PROPOSED","DpdVisRawFrame"
433,02215FE9E05D01F4E0632F061AAC9C85,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12328,,"false","Nominal/Short",1970-02-03 22:41:46.754000,60160.27648378324,1970-02-03 22:31:02.083000,2023-08-04 06:38:08.198871,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-00000-1-E_20230804T063804.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
434,0221686CD5240CD7E0632F061AAC8F13,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12328,,"false","Nominal/Short",1970-02-03 22:48:33.719000,60160.286645837914,1970-02-03 22:45:40.083000,2023-08-04 06:52:46.200396,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-00000-1-E_20230804T063804.000000Z_02_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
435,022199DD1BDD604CE0632F061AAC282B,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","CALIBRATION","3.1.2",12331,,"false","FlatField",1970-02-03 23:42:03.194000,60160.324805626406,1970-02-03 23:40:37.083000,2023-08-04 07:47:43.206122,"le1.visRawImage","0.2","s",2.0,,,"EUC_LE1_VIS-00000-1-E_20230804T073111.000000Z_02_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
436,0221A1E29F4A6A87E0632F061AACBF0E,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12337,,"false","Nominal/Short",1970-02-04 02:04:15.726000,60160.422548851704,1970-02-04 02:01:22.083000,2023-08-04 10:08:28.220788,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-00000-1-E_20230804T095346.000000Z_02_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
437,0221C5230CC69BDEE0632F061AAC3FE6,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","CALIBRATION","3.1.2",12330,,"false","Dark",1970-02-03 23:23:58.764000,60160.308601894576,1970-02-03 23:17:17.084000,2023-08-04 07:24:23.203691,"le1.visRawImage","0.2","s",325.0,,,"EUC_LE1_VIS-00000-1-E_20230804T071329.000000Z_02_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
438,0221CE572722A80CE0632F061AAC093C,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12331,,"false","Nominal/Short",1970-02-03 23:34:53.831000,60160.313370421376,1970-02-03 23:24:09.084000,2023-08-04 07:31:15.204407,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-00000-1-E_20230804T073111.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
439,0221D791D8ADB496E0632F061AAC6E4E,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12332,,"false","Nominal/Short",1970-02-04 00:26:41.724000,60160.34934270606,1970-02-04 00:15:57.083000,2023-08-04 08:23:03.209803,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-00000-1-E_20230804T082259.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
