file	start	end	score	x_median_std_pec1	y_median_std_pec1	x_median_drift_pec1	y_median_drift_pec1	x_median_std_pec2	y_median_std_pec2	x_median_drift_pec2	y_median_drift_pec2	x_std	y_std	z_std
C_20230824T202350.000000Z_01	2023-08-24 20:23:51.350414	2023-08-24 20:33:11.870414	2992.85	nan	nan	nan	nan	nan	nan	nan	nan	125.6455263826853	207.23977081054474	683.4366402275025
C_20230824T204326.000000Z_01	2023-08-24 20:43:49.352539	2023-08-24 20:53:09.872539	1.79	0.06427012231767705	0.14018318070127864	1.5766501134196774e-06	-0.00024440256968303166	0.05249573697201294	0.1900322509037193	-0.00015482402791565763	-0.00025978289873553886	11.112577624417604	5.977624671601934	172.3657366709481
C_20230824T204326.000000Z_02	2023-08-24 20:58:27.354098	2023-08-24 20:59:56.874098	0.55	0.05109905812204293	0.13658624660388355	0.000531522276222347	0.0009721004085243949	0.03923407477274453	0.16169319918920438	0.0010343458138492797	0.0007208210990805616	10.883219593670024	8.480388350954266	109.39454804542972
C_20230824T210130.000000Z_01	2023-08-24 21:01:31.354424	2023-08-24 21:10:51.874424	8.5	0.11494760530855852	0.23397198476025513	0.0004579686088032231	0.0007432777226390378	0.1206115886780313	0.23032628775867794	0.0004308477161912401	0.0007617933118450541	10.852174459894746	5.666982604941112	156.01184427053965
C_20230824T210130.000000Z_02	2023-08-24 21:16:09.355981	2023-08-24 21:17:38.875981	20.0	nan	nan	nan	nan	0.36899059079297036	0.19107986672788382	-0.01117500335495006	-0.000621471668703806	32.58072257981783	56.62907641888652	921.8483960475901
C_20230824T211912.000000Z_01	2023-08-24 21:19:13.356309	2023-08-24 21:28:33.876309	6271.26	2.2717935460687557	1.507563507212796	nan	nan	2.4550855995015857	2.14269491055227	nan	nan	45.083377752491145	25.64836410503698	1958.081083764237
C_20230824T213654.000000Z_01	2023-08-24 21:36:55.358192	2023-08-24 21:46:15.878192	1547.51	nan	nan	nan	nan	nan	nan	nan	nan	490.4017946642362	565.054707771896	12414.540212190786
C_20230824T215630.000000Z_01	2023-08-24 21:56:53.360318	2023-08-24 22:06:13.880318	145.6	0.6014613046500216	0.7924599277261232	0.0004485474733679111	-0.0013308051310842333	nan	nan	nan	nan	65.55308854576029	53.426663193075214	631.6062430475262
C_20230824T215630.000000Z_02	2023-08-24 22:11:31.361876	2023-08-24 22:13:00.881876	18.15	0.13832593698852164	0.3501846289816501	0.0007804276062559083	-0.014800628324303185	0.13422873202114202	0.34658737872829093	0.0002521112231259	-0.014329349717684152	31.258300152931657	12.102915026038826	104.71814729334865
C_20230824T221434.000000Z_01	2023-08-24 22:14:35.362203	2023-08-24 22:23:55.882203	1589.97	1.5963641534485533	1.8106583310427655	0.010897161225546952	-0.006071348932670097	1.4629487877958438	1.816135272107447	0.009549014795394696	-0.0061563743342434914	24.69902508086188	21.253945125608983	392.4312052180559
C_20230824T221434.000000Z_02	2023-08-24 22:29:13.363761	2023-08-24 22:30:42.883761	3.53	0.15708967505603044	0.213081708730839	0.0036906925640818405	0.007278272003508168	0.15147016552895273	0.17568599835992382	0.003955274660915785	0.0056933853947264655	10.101324946313463	9.940988864327263	118.18455569394517
C_20230824T223216.000000Z_01	2023-08-24 22:32:17.364088	2023-08-24 22:41:37.884088	3834.5	1.7902437729068041	2.0884962838415855	nan	nan	2.6502579803972233	2.8239393599312277	0.014780995919906613	0.01641385528493947	31.061716099407004	26.781437944532463	867.2307643568988
C_20230824T224958.000000Z_01	2023-08-24 22:49:59.365971	2023-08-24 22:59:19.885971	4.67	0.10049290148616852	0.26046172066408785	-0.0001797958929500968	-0.000148781218399592	0.07809269446082667	0.24966833658141802	-5.990848063498942e-05	-0.0001668575106067719	14.688454134854748	6.215439738031186	258.5681337795821
